department,soil_type,soil_code,notes
Louga,S,SN-N15Rain,
Ran̩rou,S,SN-N15Rain,
Bambey,LS,SN-S15Rain,
Thi̬s,S,SN-N15Rain,
Bakel,S,SN-N15Rain,
Kaolack,SL,SN00840080,
Diourbel,LS,SN-S15Rain,
Fatick,SL,SN00840080,
Mback̩,LS,SN-S15Rain,
K̩b̩mer,S,SN-N15Rain,
Lingu̬re,S,SN-N15Rain,
Saint-Louis,LS,SN-S15Rain,
Dagana,LS,SN-S15Rain,
Podor,LS,SN-S15Rain,
Matam,S,SN-N15Rain,
Kanel,S,SN-N15Rain,
Tambacounda,S,SN-N15Rain,
Goudiry,S,SN-N15Rain,
Koumpentoum,S,SN-N15Rain,
K̩dougou,SL,SN00840080,
Sal̩mata,SL,SN00840080,
Saraya,SL,SN00840080,
Kolda,SL,SN00840080,
V̩lingara,SL,SN00840080,
M̩dina Yoro Foulah,SL,SN00840080,
S̩dhiou,SL,SN00840080,
Bounkiling,SL,SN00840080,
Goudomp,SL,SN00840080,
Ziguinchor,SL,SN00840080,
Bignona,SL,SN00840080,
Oussouye,SL,SN00840080,
